Region,Type Kj�ring,Drivstofftype,�r,Statistikkvariabel,Antall,Dato
Norge,Egentransport,Bensin,2008,Personbil,1587727,1/1/2008
Norge,Egentransport,Bensin,2008,Ambulanse,120,1/1/2008
Norge,Egentransport,Bensin,2008,Buss,1315,1/1/2008
Norge,Egentransport,Bensin,2008,Varebil,63302,1/1/2008
Norge,Egentransport,Bensin,2008,Kombinert bil,11738,1/1/2008
Norge,Egentransport,Bensin,2008,Lastebil,7304,1/1/2008
Norge,Egentransport,Bensin,2008,Moped,159292,1/1/2008
Norge,Egentransport,Bensin,2008,Lett motorsykkel,17518,1/1/2008
Norge,Egentransport,Bensin,2008,Tung motorsykkel,115914,1/1/2008
Norge,Egentransport,Bensin,2008,Beltemotorsykkel,63457,1/1/2008
Norge,Egentransport,Bensin,2008,Traktor,17434,1/1/2008
Norge,Egentransport,Bensin,2008,Motorredskap,2600,1/1/2008
Norge,Egentransport,Bensin,2009,Personbil,1542610,1/1/2009
Norge,Egentransport,Bensin,2009,Ambulanse,110,1/1/2009
Norge,Egentransport,Bensin,2009,Buss,1024,1/1/2009
Norge,Egentransport,Bensin,2009,Varebil,58886,1/1/2009
Norge,Egentransport,Bensin,2009,Kombinert bil,10105,1/1/2009
Norge,Egentransport,Bensin,2009,Lastebil,7177,1/1/2009
Norge,Egentransport,Bensin,2009,Moped,163130,1/1/2009
Norge,Egentransport,Bensin,2009,Lett motorsykkel,18313,1/1/2009
Norge,Egentransport,Bensin,2009,Tung motorsykkel,121381,1/1/2009
Norge,Egentransport,Bensin,2009,Beltemotorsykkel,66279,1/1/2009
Norge,Egentransport,Bensin,2009,Traktor,19254,1/1/2009
Norge,Egentransport,Bensin,2009,Motorredskap,2585,1/1/2009
Norge,Egentransport,Bensin,2010,Personbil,1492093,1/1/2010
Norge,Egentransport,Bensin,2010,Ambulanse,94,1/1/2010
Norge,Egentransport,Bensin,2010,Buss,839,1/1/2010
Norge,Egentransport,Bensin,2010,Varebil,53696,1/1/2010
Norge,Egentransport,Bensin,2010,Kombinert bil,8512,1/1/2010
Norge,Egentransport,Bensin,2010,Lastebil,6981,1/1/2010
Norge,Egentransport,Bensin,2010,Moped,166368,1/1/2010
Norge,Egentransport,Bensin,2010,Lett motorsykkel,18925,1/1/2010
Norge,Egentransport,Bensin,2010,Tung motorsykkel,125808,1/1/2010
Norge,Egentransport,Bensin,2010,Beltemotorsykkel,68632,1/1/2010
Norge,Egentransport,Bensin,2010,Traktor,21006,1/1/2010
Norge,Egentransport,Bensin,2010,Motorredskap,2554,1/1/2010
Norge,Egentransport,Bensin,2011,Personbil,1438790,1/1/2011
Norge,Egentransport,Bensin,2011,Ambulanse,75,1/1/2011
Norge,Egentransport,Bensin,2011,Buss,697,1/1/2011
Norge,Egentransport,Bensin,2011,Varebil,47641,1/1/2011
Norge,Egentransport,Bensin,2011,Kombinert bil,7155,1/1/2011
Norge,Egentransport,Bensin,2011,Lastebil,6536,1/1/2011
Norge,Egentransport,Bensin,2011,Moped,169155,1/1/2011
Norge,Egentransport,Bensin,2011,Lett motorsykkel,19597,1/1/2011
Norge,Egentransport,Bensin,2011,Tung motorsykkel,129990,1/1/2011
Norge,Egentransport,Bensin,2011,Beltemotorsykkel,70819,1/1/2011
Norge,Egentransport,Bensin,2011,Traktor,22952,1/1/2011
Norge,Egentransport,Bensin,2011,Motorredskap,2515,1/1/2011
Norge,Egentransport,Bensin,2012,Personbil,1397171,1/1/2012
Norge,Egentransport,Bensin,2012,Ambulanse,64,1/1/2012
Norge,Egentransport,Bensin,2012,Buss,557,1/1/2012
Norge,Egentransport,Bensin,2012,Varebil,43066,1/1/2012
Norge,Egentransport,Bensin,2012,Kombinert bil,5996,1/1/2012
Norge,Egentransport,Bensin,2012,Lastebil,5989,1/1/2012
Norge,Egentransport,Bensin,2012,Moped,172006,1/1/2012
Norge,Egentransport,Bensin,2012,Lett motorsykkel,20408,1/1/2012
Norge,Egentransport,Bensin,2012,Tung motorsykkel,134155,1/1/2012
Norge,Egentransport,Bensin,2012,Beltemotorsykkel,73334,1/1/2012
Norge,Egentransport,Bensin,2012,Traktor,25762,1/1/2012
Norge,Egentransport,Bensin,2012,Motorredskap,2472,1/1/2012
Norge,Egentransport,Bensin,2013,Personbil,1354368,1/1/2013
Norge,Egentransport,Bensin,2013,Ambulanse,57,1/1/2013
Norge,Egentransport,Bensin,2013,Buss,473,1/1/2013
Norge,Egentransport,Bensin,2013,Varebil,38647,1/1/2013
Norge,Egentransport,Bensin,2013,Kombinert bil,4905,1/1/2013
Norge,Egentransport,Bensin,2013,Lastebil,5397,1/1/2013
Norge,Egentransport,Bensin,2013,Moped,173145,1/1/2013
Norge,Egentransport,Bensin,2013,Lett motorsykkel,21134,1/1/2013
Norge,Egentransport,Bensin,2013,Tung motorsykkel,138356,1/1/2013
Norge,Egentransport,Bensin,2013,Beltemotorsykkel,76229,1/1/2013
Norge,Egentransport,Bensin,2013,Traktor,28711,1/1/2013
Norge,Egentransport,Bensin,2013,Motorredskap,2434,1/1/2013
Norge,Egentransport,Bensin,2014,Personbil,1309898,1/1/2014
Norge,Egentransport,Bensin,2014,Ambulanse,44,1/1/2014
Norge,Egentransport,Bensin,2014,Buss,407,1/1/2014
Norge,Egentransport,Bensin,2014,Varebil,34927,1/1/2014
Norge,Egentransport,Bensin,2014,Kombinert bil,4128,1/1/2014
Norge,Egentransport,Bensin,2014,Lastebil,4797,1/1/2014
Norge,Egentransport,Bensin,2014,Moped,174501,1/1/2014
Norge,Egentransport,Bensin,2014,Lett motorsykkel,21905,1/1/2014
Norge,Egentransport,Bensin,2014,Tung motorsykkel,143444,1/1/2014
Norge,Egentransport,Bensin,2014,Beltemotorsykkel,77373,1/1/2014
Norge,Egentransport,Bensin,2014,Traktor,32118,1/1/2014
Norge,Egentransport,Bensin,2014,Motorredskap,2399,1/1/2014
Norge,Egentransport,Bensin,2015,Personbil,1274829,1/1/2015
Norge,Egentransport,Bensin,2015,Ambulanse,40,1/1/2015
Norge,Egentransport,Bensin,2015,Buss,336,1/1/2015
Norge,Egentransport,Bensin,2015,Varebil,31352,1/1/2015
Norge,Egentransport,Bensin,2015,Kombinert bil,3460,1/1/2015
Norge,Egentransport,Bensin,2015,Lastebil,4254,1/1/2015
Norge,Egentransport,Bensin,2015,Moped,175160,1/1/2015
