region,type kjøring,drivstofftype,år,statistikkvariabel,"07849: Registrerte kjøretøy,"
0 Hele landet,Egentransport,Bensin,2008,Personbiler,1587727
0 Hele landet,Egentransport,Bensin,2008,Ambulanser,120
0 Hele landet,Egentransport,Bensin,2008,Busser,1315
0 Hele landet,Egentransport,Bensin,2008,Varebiler,63302
0 Hele landet,Egentransport,Bensin,2008,Kombinerte biler,11738
0 Hele landet,Egentransport,Bensin,2008,Lastebiler,7304
0 Hele landet,Egentransport,Bensin,2008,Mopeder,159292
0 Hele landet,Egentransport,Bensin,2008,Lette motorsykler,17518
0 Hele landet,Egentransport,Bensin,2008,Tunge motorsykler,115914
0 Hele landet,Egentransport,Bensin,2008,Beltemotorsykler,63457
0 Hele landet,Egentransport,Bensin,2008,Traktorer,17434
0 Hele landet,Egentransport,Bensin,2008,Motorredskaper,2600
0 Hele landet,Egentransport,Bensin,2009,Personbiler,1542610
0 Hele landet,Egentransport,Bensin,2009,Ambulanser,110
0 Hele landet,Egentransport,Bensin,2009,Busser,1024
0 Hele landet,Egentransport,Bensin,2009,Varebiler,58886
0 Hele landet,Egentransport,Bensin,2009,Kombinerte biler,10105
0 Hele landet,Egentransport,Bensin,2009,Lastebiler,7177
0 Hele landet,Egentransport,Bensin,2009,Mopeder,163130
0 Hele landet,Egentransport,Bensin,2009,Lette motorsykler,18313
0 Hele landet,Egentransport,Bensin,2009,Tunge motorsykler,121381
0 Hele landet,Egentransport,Bensin,2009,Beltemotorsykler,66279
0 Hele landet,Egentransport,Bensin,2009,Traktorer,19254
0 Hele landet,Egentransport,Bensin,2009,Motorredskaper,2585
0 Hele landet,Egentransport,Bensin,2010,Personbiler,1492093
0 Hele landet,Egentransport,Bensin,2010,Ambulanser,94
0 Hele landet,Egentransport,Bensin,2010,Busser,839
0 Hele landet,Egentransport,Bensin,2010,Varebiler,53696
0 Hele landet,Egentransport,Bensin,2010,Kombinerte biler,8512
0 Hele landet,Egentransport,Bensin,2010,Lastebiler,6981
0 Hele landet,Egentransport,Bensin,2010,Mopeder,166368
0 Hele landet,Egentransport,Bensin,2010,Lette motorsykler,18925
0 Hele landet,Egentransport,Bensin,2010,Tunge motorsykler,125808
0 Hele landet,Egentransport,Bensin,2010,Beltemotorsykler,68632
0 Hele landet,Egentransport,Bensin,2010,Traktorer,21006
0 Hele landet,Egentransport,Bensin,2010,Motorredskaper,2554
0 Hele landet,Egentransport,Bensin,2011,Personbiler,1438790
0 Hele landet,Egentransport,Bensin,2011,Ambulanser,75
0 Hele landet,Egentransport,Bensin,2011,Busser,697
0 Hele landet,Egentransport,Bensin,2011,Varebiler,47641
0 Hele landet,Egentransport,Bensin,2011,Kombinerte biler,7155
0 Hele landet,Egentransport,Bensin,2011,Lastebiler,6536
0 Hele landet,Egentransport,Bensin,2011,Mopeder,169155
0 Hele landet,Egentransport,Bensin,2011,Lette motorsykler,19597
0 Hele landet,Egentransport,Bensin,2011,Tunge motorsykler,129990
0 Hele landet,Egentransport,Bensin,2011,Beltemotorsykler,70819
0 Hele landet,Egentransport,Bensin,2011,Traktorer,22952
0 Hele landet,Egentransport,Bensin,2011,Motorredskaper,2515
0 Hele landet,Egentransport,Bensin,2012,Personbiler,1397171
0 Hele landet,Egentransport,Bensin,2012,Ambulanser,64
0 Hele landet,Egentransport,Bensin,2012,Busser,557
0 Hele landet,Egentransport,Bensin,2012,Varebiler,43066
0 Hele landet,Egentransport,Bensin,2012,Kombinerte biler,5996
