region;type registrering;drivstofftype;år;biltyper;antall;dato
Norge;Nye kjøretøy;Bensin;2019;Personbiler;21203;01.01.2019
Norge;Nye kjøretøy;Bensin;2019;Ambulanser;7;01.01.2019
Norge;Nye kjøretøy;Bensin;2019;Bobiler;2;01.01.2019
Norge;Nye kjøretøy;Bensin;2019;Busser;0;01.01.2019
Norge;Nye kjøretøy;Bensin;2019;Varebiler;507;01.01.2019
Norge;Nye kjøretøy;Bensin;2019;Kombinerte biler;0;01.01.2019
Norge;Nye kjøretøy;Bensin;2019;Lastebiler;1;01.01.2019
Norge;Nye kjøretøy;Bensin;2019;Mopeder;2539;01.01.2019
Norge;Nye kjøretøy;Bensin;2019;Lette motorsykler;2740;01.01.2019
Norge;Nye kjøretøy;Bensin;2019;Tunge motorsykler;6150;01.01.2019
Norge;Nye kjøretøy;Bensin;2019;Beltemotorsykler;5269;01.01.2019
Norge;Nye kjøretøy;Bensin;2019;Traktorer;7256;01.01.2019
Norge;Nye kjøretøy;Bensin;2019;Motorredskaper;1;01.01.2019
Norge;Nye kjøretøy;Bensin;2020;Personbiler;8377;01.01.2020
Norge;Nye kjøretøy;Bensin;2020;Ambulanser;3;01.01.2020
Norge;Nye kjøretøy;Bensin;2020;Bobiler;4;01.01.2020
Norge;Nye kjøretøy;Bensin;2020;Busser;0;01.01.2020
Norge;Nye kjøretøy;Bensin;2020;Varebiler;245;01.01.2020
Norge;Nye kjøretøy;Bensin;2020;Kombinerte biler;0;01.01.2020
Norge;Nye kjøretøy;Bensin;2020;Lastebiler;0;01.01.2020
Norge;Nye kjøretøy;Bensin;2020;Mopeder;2086;01.01.2020
Norge;Nye kjøretøy;Bensin;2020;Lette motorsykler;2474;01.01.2020
Norge;Nye kjøretøy;Bensin;2020;Tunge motorsykler;6645;01.01.2020
Norge;Nye kjøretøy;Bensin;2020;Beltemotorsykler;4059;01.01.2020
Norge;Nye kjøretøy;Bensin;2020;Traktorer;7188;01.01.2020
Norge;Nye kjøretøy;Bensin;2020;Motorredskaper;0;01.01.2020
Norge;Nye kjøretøy;Diesel;2019;Personbiler;22245;01.01.2019
Norge;Nye kjøretøy;Diesel;2019;Ambulanser;108;01.01.2019
Norge;Nye kjøretøy;Diesel;2019;Bobiler;3587;01.01.2019
Norge;Nye kjøretøy;Diesel;2019;Busser;1902;01.01.2019
Norge;Nye kjøretøy;Diesel;2019;Varebiler;33056;01.01.2019
Norge;Nye kjøretøy;Diesel;2019;Kombinerte biler;0;01.01.2019
Norge;Nye kjøretøy;Diesel;2019;Lastebiler;5797;01.01.2019
Norge;Nye kjøretøy;Diesel;2019;Mopeder;208;01.01.2019
Norge;Nye kjøretøy;Diesel;2019;Lette motorsykler;0;01.01.2019
Norge;Nye kjøretøy;Diesel;2019;Tunge motorsykler;2;01.01.2019
Norge;Nye kjøretøy;Diesel;2019;Beltemotorsykler;0;01.01.2019
Norge;Nye kjøretøy;Diesel;2019;Traktorer;3352;01.01.2019
Norge;Nye kjøretøy;Diesel;2019;Motorredskaper;96;01.01.2019
Norge;Nye kjøretøy;Diesel;2020;Personbiler;11353;01.01.2020
Norge;Nye kjøretøy;Diesel;2020;Ambulanser;74;01.01.2020
Norge;Nye kjøretøy;Diesel;2020;Bobiler;3376;01.01.2020
Norge;Nye kjøretøy;Diesel;2020;Busser;1016;01.01.2020
Norge;Nye kjøretøy;Diesel;2020;Varebiler;27376;01.01.2020
Norge;Nye kjøretøy;Diesel;2020;Kombinerte biler;0;01.01.2020
