"region","type registrering","drivstofftype","år","statistikkvariabel","12906: Førstegangsregistrerte kjøretøy,"
"0 Hele landet","Nye kjøretøy","Bensin","2019","Personbiler",21203
"0 Hele landet","Nye kjøretøy","Bensin","2019","Ambulanser",7
"0 Hele landet","Nye kjøretøy","Bensin","2019","Bobiler",2
"0 Hele landet","Nye kjøretøy","Bensin","2019","Busser",0
"0 Hele landet","Nye kjøretøy","Bensin","2019","Varebiler",507
"0 Hele landet","Nye kjøretøy","Bensin","2019","Kombinerte biler",0
"0 Hele landet","Nye kjøretøy","Bensin","2019","Lastebiler",1
"0 Hele landet","Nye kjøretøy","Bensin","2019","Mopeder",2539
"0 Hele landet","Nye kjøretøy","Bensin","2019","Lette motorsykler",2740
"0 Hele landet","Nye kjøretøy","Bensin","2019","Tunge motorsykler",6150
"0 Hele landet","Nye kjøretøy","Bensin","2019","Beltemotorsykler",5269
"0 Hele landet","Nye kjøretøy","Bensin","2019","Traktorer",7256
"0 Hele landet","Nye kjøretøy","Bensin","2019","Motorredskaper",1
"0 Hele landet","Nye kjøretøy","Bensin","2020","Personbiler",8377
"0 Hele landet","Nye kjøretøy","Bensin","2020","Ambulanser",3
"0 Hele landet","Nye kjøretøy","Bensin","2020","Bobiler",4
"0 Hele landet","Nye kjøretøy","Bensin","2020","Busser",0
"0 Hele landet","Nye kjøretøy","Bensin","2020","Varebiler",245
"0 Hele landet","Nye kjøretøy","Bensin","2020","Kombinerte biler",0
"0 Hele landet","Nye kjøretøy","Bensin","2020","Lastebiler",0
"0 Hele landet","Nye kjøretøy","Bensin","2020","Mopeder",2086
"0 Hele landet","Nye kjøretøy","Bensin","2020","Lette motorsykler",2474
"0 Hele landet","Nye kjøretøy","Bensin","2020","Tunge motorsykler",6645
"0 Hele landet","Nye kjøretøy","Bensin","2020","Beltemotorsykler",4059
"0 Hele landet","Nye kjøretøy","Bensin","2020","Traktorer",7188
"0 Hele landet","Nye kjøretøy","Bensin","2020","Motorredskaper",0
"0 Hele landet","Nye kjøretøy","Diesel","2019","Personbiler",22245
"0 Hele landet","Nye kjøretøy","Diesel","2019","Ambulanser",108
"0 Hele landet","Nye kjøretøy","Diesel","2019","Bobiler",3587
"0 Hele landet","Nye kjøretøy","Diesel","2019","Busser",1902
"0 Hele landet","Nye kjøretøy","Diesel","2019","Varebiler",33056
"0 Hele landet","Nye kjøretøy","Diesel","2019","Kombinerte biler",0
"0 Hele landet","Nye kjøretøy","Diesel","2019","Lastebiler",5797
"0 Hele landet","Nye kjøretøy","Diesel","2019","Mopeder",208
"0 Hele landet","Nye kjøretøy","Diesel","2019","Lette motorsykler",0
"0 Hele landet","Nye kjøretøy","Diesel","2019","Tunge motorsykler",2
"0 Hele landet","Nye kjøretøy","Diesel","2019","Beltemotorsykler",0
"0 Hele landet","Nye kjøretøy","Diesel","2019","Traktorer",3352
"0 Hele landet","Nye kjøretøy","Diesel","2019","Motorredskaper",96
"0 Hele landet","Nye kjøretøy","Diesel","2020","Personbiler",11353
"0 Hele landet","Nye kjøretøy","Diesel","2020","Ambulanser",74
"0 Hele landet","Nye kjøretøy","Diesel","2020","Bobiler",3376
"0 Hele landet","Nye kjøretøy","Diesel","2020","Busser",1016
"0 Hele landet","Nye kjøretøy","Diesel","2020","Varebiler",27376
"0 Hele landet","Nye kjøretøy","Diesel","2020","Kombinerte biler",0
"0 Hele landet","Nye kjøretøy","Diesel","2020","Lastebiler",4519
"0 Hele landet","Nye kjøretøy","Diesel","2020","Mopeder",375
"0 Hele landet","Nye kjøretøy","Diesel","2020","Lette motorsykler",0
